|l1filename                                        |l1filepath                                                                 |l1propint |qobject                                           |object                                            |qra                 |qdec                |date_obs                     |exptime     |obsmode    |obstype    |program         |piname                                            |datalvl   |seeing    |airmass         |moonagl   |ra                    |dec                   |
|char                                              |char                                                                       |int       |char                                              |char                                              |char                |char                |char                         |double      |char       |char       |char            |char                                              |int       |double    |double          |double    |double                |double                |
|                                                  |                                                                           |months    |                                                  |                                                  |sexagesimal         |sexagesimal         |                             |s           |           |           |                |                                                  |          |arcsec    |secZ            |deg       |deg                   |deg                   |
|null                                              |null                                                                       |null      |null                                              |null                                              |null                |null                |null                         |null        |null       |null       |null            |null                                              |null      |null      |null            |null      |null                  |null                  |
 neidL1_20210116T140543.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140543.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:05:43.000       5.763338     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.0048    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140623.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140623.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:06:23.000       5.780567     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.0241    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140702.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140702.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:07:02.000       5.826682     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.0430    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140741.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140741.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:07:41.000       5.748951     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.0621    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140820.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140820.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:08:20.000       5.827208     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.0810    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140859.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140859.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:08:59.000       5.778782     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.1000    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T140939.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T140939.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:09:39.000       5.841377     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.1194    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T141018.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T141018.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:10:18.000       5.772251     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.1383    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T141057.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T141057.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:10:57.000       5.850344     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.1572    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T141137.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T141137.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 14:11:37.000       5.787873     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.1766    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T141225.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T141225.fits                           0          -999999                                            FlatBB Cal-HRSci                                   -999999              -999999              2021-01-16 14:12:25.000       69.837663    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           71.1998    -9.99000000000000e+01  -9.99000000000000e+01  
